,toxic,polite
395,"а может сама закроешся в своем скворечнике ,? сиди и скули там,по закрывалась на все замки тебе никто не нужен ,мещанки по природе ,хата с краю и трава не расти ,но если у таких как ты своя изба загорится ,сразу вопить станут .... помогите ! спасите ! дибилоиды эгоистичные .","а может вы сами закроетесь в своем скворечнике ,? будете там сидеть и плакать,по закрывалась на все замки вам никто не нужен ,мещанки по природе ,хата с краю и трава не расти ,но если у таких как вы своя изба загорится ,сразу кричать станут .... помогите ! спасите ! эгоисты ."
396,"баю-баюшки,баю не ложится на краю придёт серенький волчёк и укусит за бочок разгрызёт тебе он почки на мельчайшие кусочки съест мозги,кишки,желудок ненасытнейший ублюдок будет долго он жевать а потом пойдёт блевать ты не вкусный ,ты противный горький, пьяный,никотиный не фиг дурью то страдать детям ночью надо спать...","баю-баюшки,баю не ложится на краю придёт серенький волчёк и укусит за бочок разгрызёт тебе он почки на мельчайшие кусочки съест мозги,кишки,желудок будет долго он жевать а потом пойдёт блевать ты не вкусный ,ты противный горький, пьяный,никотиный незачем ерундой страдать детям ночью надо спать..."
397,почему за решоткой их сразу на кол,почему за решоткой их сразу казнить
398,жаль детей этого мусорка.....,жаль детей этого сотрудника полиции.....
399,это все пиздежь и провокация со стороны российских---иуд. такое возможно сделать и делают только в россии.,это все ложь и провокация со стороны российских---иуд. такое возможно сделать и делают только в россии.
400,может жопализы а мож и хуисосы,может подхалимы а мож и ничтожества
401,"ндаа! захотели бульбши-как в россии! скоро получат. пиздец мазу, белазу, мтз, батэ и т.д. надоела свобода. щас раздербанят страну гниды. пиздец свободе. ура намотдники! сами себе их надели. потом лукого вспоминать будут как брежнева.","ндаа! захотели беларусы-как в россии! скоро получат. конец мазу, белазу, мтз, батэ и т.д. надоела свобода. щас разрушат страну. конец свободе. ура намотдники! сами себе их надели. потом лукашенко вспоминать будут как брежнева."
402,этого подонка давно пора казнить в москве на лобном месте!,его давно пора казнить в москве на лобном месте!
403,"))) а подсовывают из..торы..ю оскотиневшиеся потомки гей..оргия иудеев по..беданосцев..!!!))), осквернивших дра..кон..а и наплевавших на остаток кон..ституции..!!! отбросы - изгои цивилизации..!, когда-то толерантно..!))), переселённые в окраину кит..ай г..ра..да и развившись в своией поганой самобытности..!, до сих пор..!, не могут достигнуть того уровня развития и не имеют представления..!), как пользоваться их достяжениями..!!!, проводя всё своё время в потреблядстве.., интригах.., склоках сплетнях и раздорах..!!!))), порозитируя на планете - живой клеточки вселенского организма творца..!!! но титаны возмездия кроноса уже на рубеже и ждут когда завершится отделение здравых зёрен от безтолковой шелухи.., окончательно утративших человеческий облик - волю творца..!!! без вольная скотобаза..!!!))), есть только миг между прошлым и будущем..!!!..., а дальше.., для вас.., дамы и гос..под..а..!), промозглость бездонного вечного мрака..!!!))) шикарный размен..!!!)))","))) а подсовывают из..торы..ю оскотиневшиеся потомки гей..оргия иудеев по..беданосцев..!!!))), осквернивших дра..кон..а и наплевавших на остаток кон..ституции..!!! отбросы - изгои цивилизации..!, когда-то толерантно..!))), переселённые в окраину кит..ай г..ра..да и развившись в своией самобытности..!, до сих пор..!, не могут достигнуть того уровня развития и не имеют представления..!), как пользоваться их достяжениями..!!!, проводя всё своё время в потреблении.., интригах.., склоках сплетнях и раздорах..!!!))), порозитируя на планете - живой клеточки вселенского организма творца..!!! но титаны возмездия кроноса уже на рубеже и ждут когда завершится отделение здравых зёрен от безтолковой шелухи.., окончательно утративших человеческий облик - волю творца..!!! без вольная скотобаза..!!!))), есть только миг между прошлым и будущем..!!!..., а дальше.., для вас.., дамы и гос..под..а..!), промозглость бездонного вечного мрака..!!!))) шикарный размен..!!!)))"
404,"ужас, это не для слабонервных... без суда и следствия решения родительских прав,а лучше вообще расстрелять таких родителей...","ужас, это не для слабонервных... без суда и следствия решения родительских прав,а лучше вообще убить таких родителей..."
405,чё за хуйня? чё за чёрт сделал это видео?,что это? кто сделал это видео?
406,расстрел с конфискацией ближнего круга,смертная казнь с конфискацией ближнего круга
407,моральные уроды заполняют россию то пидофилы то пидоры на каблуках стрём,безнравственные люди заполняют россию то пидофилы то геи на каблуках ужасно
408,"вне зависимости от того, что ты высрешь, это не поменяет того факта, что какой-то петух из белгородской деревни зашибает в месяц в два, а то и три раза больше, чем твой алкаш-отец и шлюха-мать, а ты и дальше будешь сидеть и нахуй никому не нужный сосать хуй, а ему присылать донаты, омегалул","вне зависимости от того, что вы скажете, это не поменяет того факта, что какой-то человек из белгородской деревни зашибает в месяц в два, а то и три раза больше, чем ваши отец и мать, а вы и дальше будете сидеть и никому не нужный страдать, а ему присылать донаты, омегалул"
409,"эти ебучие одноклассники куда смотрят,всякую шваль допускают на сайт.","эти одноклассники куда смотрят,всяких плохих людей допускают на сайт."
410,Геолог Георгий герой гей оргий,Геолог Георгий герой гей оргий
411,"причём тут конь,если в машине долбоёб.","причём тут конь,если в машине глупый человек."
412,"ты долбоеб, ты посмотри за что ты работаешь, за что будут работать твои дети. ты на путина и его приближенных работаешь, а в итоге ты рабыня ебаная.","вы заблуждаетесь, вы посмотрите за что вы работаете, за что будут работать ваши дети. ва на путина и его приближенных работаете, а в итоге вы рабыня."
413,"после тебя, тварь!",после вас!
414,сажать этих врачей надо,сажать этих врачей надо
415,получаеца мой знакомый тварь..)))),получаеца мой знакомый ужасный человек..))))
416,Пиздец. Государство как всегда обосралось,Кошмар. Государство как всегда не справилось
417,кто не лижет- тот сосёт)))),кто не лижет- тот сосёт))))
418,"да кому он нужен придурок, вот ваш и дешёвый приём.........","да кому он нужен, вот ваш и дешёвый приём........."
419,"расстрелять, уродов.........",расстрелять их.........
420,"чтоб ты сдох, урод проклятый",чтоб вы умерли
421,"сука поганая, давно лижешь блядь уродина, червячья отродье",вы плохой человек
422,свинопасы они были и такими останутся! холопство у них на генном уровне!,украинцы они были и такими останутся! холопство у них на генном уровне!
423,"что за идиотская гуманность с нашей стороны! многие из этих хохлоскотов опять пошли на ато. вот это блядство, т. е. гуманность, исходит от тех долбоёбов, чьи дети на донбассе не воюют и не гибнут. хорошо, когда за твою доброту, т. е. гуманность, расплачиваются чужими жизнями. я не понимаю, с каких это пор у нас стали жалеть фашистов?","что за идиотская гуманность с нашей стороны! многие из этих украинцев опять пошли на ато. вот это, т. е. гуманность, исходит от тех людей, чьи дети на донбассе не воюют и не гибнут. хорошо, когда за твою доброту, т. е. гуманность, расплачиваются чужими жизнями. я не понимаю, с каких это пор у нас стали жалеть фашистов?"
424,"здесь были два пидара , вова и дима","здесь были два плохих человека , вова и дима"
425,таких надо просто на месте стрелять что бы стаю не заразила,таких надо просто на месте убивать что бы стаю не заразила
426,тебя не ебёт вообще с тобой не разговариваю говноротый,это не ваше дело с вами я не разговариваю
427,хочу всех дебилов которые под спросить ну фото класс и с деньгами ставили разбогатели з з как,хочу всех глупцов которые под спросить ну фото класс и с деньгами ставили разбогатели з з как
428,"дармоедка и тунеядка, на американские бабки учит белорусов жить....к стенке тварь...","дармоедка и тунеядка, на американские деньги учит белорусов жить....к стенке..."
429,черт ты покажись. всё седло тебе отобью,предлагаю вам встречу
430,"вот бацька и вышла тебе боком, дружба и заигрывание с ублюдками кастрюлеголовыми👆они то и заинтересованны как никто другой майдана в рб.","вот бацька и вышла тебе боком, дружба и заигрывание с украинцами👆они то и заинтересованны как никто другой майдана в рб."
431,демократию Что ты об этом знаешь тупорылая пидораха?,демократию Что вы об этом знаете?
432,трахуны - деваха чуток разделась всего то;),любовники - девушка чуть-чуть разделась всего то;)
433,"заебали этими масками,уроды хватит издеваться над людьми.собянина и путина на мыло!!! нет маскам!!! хватит молчать и вакцинации нет,люди немолчите,вашим детям и внукам будут вкалывать это дерьмо в принудительном порядке!!! нельзя это допустить(sr)","надоели эти маски,уроды хватит издеваться над людьми.собянина и путина на мыло!!! нет маскам!!! хватит молчать и вакцинации нет,люди немолчите,вашим детям и внукам будут вкалывать это в принудительном порядке!!! нельзя это допустить(sr)"
434,мочить провокаторов.,убивать провокаторов.
435,"геннадий дробышев! твой стиль изложения мыслей видно невооружённым взглядом. фуфел! ты хе поливал грязью ольгу, величая её шалавой!!! на все одноклассники прославил!!! и продолжаешь порочить её! дерьмо ты гена!","геннадий дробышев! твой стиль изложения мыслей видно невооружённым взглядом. ты хе поливал грязью ольгу, величая её женщиной лёгкого поведения!!! на все одноклассники прославил!!! и продолжаешь порочить её! геннадий, вы непорядочный человек!"
436,это вы долбоебки не тем местом думаете,это вы глупые
437,ебать мою жопу что все узбеки и таджики только в москве,что все узбеки и таджики только в москве
438,расстрелять америкоса рыжего!!!!!!,убить рыжего американца!!!!!!
439,сиськи выпрыгнут 😘😘😘🌹🌹🌹,грудь выпрыгнет 😘😘😘🌹🌹🌹
440,"его надо подвесить, только не за ногу, а за хххх, нет слов даже, как назвать эту морду в панаме....","его надо подвесить, только не за ногу, а за хххх, нет слов даже, как назвать это лицо в панаме...."
441,лутьше повесить..вместе с родителями...,лутьше повесить..вместе с родителями...
442,и мусульман тоже уничтожать...,и мусульман тоже уничтожать...
443,"100% оттибидохал, мне кажется. она с удовольствием бы и сейчас с ним тибидохалась,если бы он только захотел.","100% занялся с ней сексом, мне кажется. она с удовольствием бы и сейчас с ним занималась сексом,если бы он только захотел."
444,"по-моему ты одна из стада баранов, любящих ввп. едь в россию, и таких же идиотов собери с собой и целуйте своему ввп пятки","по-моему ты одна из толпы глупых людей, любящих ввп. едь в россию, и таких же глупцов собери с собой и целуйте своему ввп пятки"
445,"дибилы, воры и мародёры управляют рф...","глупые люди, воры и мародёры управляют рф..."
446,"а на сколько лямов обошлось проекту проживание в периметре трёх сучек вместе взятых со своими ебарями, переделками морды лица, шопинги, рекламы и т.д. и т.п. чтобы из нищебродок сделать более-менее достойный проекту фейковый бренд, а каналу...!!!, поддерживать рейтинг месячными заменами партнёров савкиной и истеричные выкрутасы всего семейства... так что, уважаемая потемкова, фанатка всех шлюх проекта, заткнись... и эта младшая великовозрастная ба винит проект за своё неуемное блядство, хамство, равнодушие к судьбе, пьяные гульки","а во сколько миллионов обошлось проекту проживание в периметре трёх женщин вместе взятых со своими любовниками, переделками лица, шопинги, рекламы и т.д. и т.п. чтобы из бедных женщин сделать более-менее достойный проекту фейковый бренд, а каналу...!!!, поддерживать рейтинг месячными заменами партнёров савкиной и истеричные скандалы всего семейства... так что, уважаемая потемкова, фанатка всех женщин проекта, заткнись... и эта младшая великовозрастная ба винит проект за свои неуёмные беспорядочные половые связи, хамство, равнодушие к судьбе, алкогольные вечеринки"
447,расстрелять без суда чтоб другим неповадно было,казнить без суда чтоб другим неповадно было
448,камень на шею и утопить эту мразь,камень на шею и утопить
449,вешайте их пидоров этих !,вешайте их !
450,"ну да! ещё клипс навещать в все бока щелей тату.. на то что только бане видно... а насчёт геев и пидорастов не стоит лукавить.. да почти все не прочь засунуть туда ,куда зверь не сунется...","ну да! ещё клипс навещать в все бока щелей тату.. на то что только бане видно... а насчёт геев не стоит лукавить.. да почти все не прочь засунуть туда ,куда зверь не сунется..."
451,"Дима, если кому-то здесь и ссут в лицо, так это твоей мамаше-шлюхе.","Дмитрий, если кого-то здесь и унижают, так это вашу мать."
452,эту тварь за яйца на осине вздернуть надо!,его за яйца на осине вздернуть надо!
453,"вод только эта сука сидит в киеве и ни единого слова в защиту луганска и донецка (где ему установлен памятник) за 7 лет не сказал. наверное для него луганчане, как и для лысого из квартала, уже не люди, а лугандоны?","вод только он сидит в киеве и ни единого слова в защиту луганска и донецка (где ему установлен памятник) за 7 лет не сказал. наверное для него луганчане, как и для кошевого, уже не люди?"
454,работа кремлебота поганая работа позорная как триппер противная как рвота и забота странная изводит кремлебота смешать с дерьмом и грязью понятие свобода задача кремлебота до врать седь мого пота с бесстыдством крокодила с упорством идиота со жлобским упоеньем морального урода такая работа вот работа кремлебота,работа кремлевского проплаченного комментатора плохая работа позорная как триппер противная как рвота и забота странная изводит кремлевского проплаченного комментатора смешать с грязью понятие свобода задача кремлевского проплаченного комментатора до лгать седь мого пота с бесстыдством крокодила с упорством глупца с упоеньем безнравственного человека такая работа вот работа кремлевского проплаченного комментатора
455,"о,как красиво сказал,блеск!а на поверку получается соврал!какой пиздюк!","о,как красиво сказал,блеск!а на поверку получается солгал!какой лжец!"
456,"По факту она пердяевская свиноматка с 3мя пиздюками, которые учатся в быдлошкалке. Ну хуле такие необучаемые пидорахи-то, а? Ну блядь, ну ежу сука понятно, что нихуя хорошего не происходит в быдлошкалке, лучше сразу в проститутки...","По факту она жительница Бердяева с 3мя детьми, которые учатся в плохой школе. Ну почему они такие необучаемые, а? Ну ежу же понятно, что нихуя хорошего не происходит в плохой школе, лучше сразу в проститутки..."
457,"долбоёбы бля,хомячки анального,подгузники ходорковского.","глупцы,фанаты навального,сторонники ходорковского."
458,наказать по всей строгости скотов,наказать их по всей строгости
459,когда там в москве соловью в жопу чё нибудь воткнут..и в пасть поганую тоже???,когда там в москве соловьёву в задницу что нибудь воткнут..и в лицо тоже???
460,"бараны, да. но не хабаровчане. смотри сам к стаду баранов не примкни. жаркий магадан может сказаться на твоем здоровье отрицательно. надорвешься лес валить.","глупые люди, да. но не хабаровчане. смотри сам к толпе глупых людей не примкни. жаркий магадан может сказаться на твоем здоровье отрицательно. надорвешься лес валить."
461,каких дебилов земля носит....как можно 3 л бить в живот....пожизненное ему....а мальчику царство небесное...,каких глупцов земля носит....как можно 3 л бить в живот....пожизненное ему....а мальчику царство небесное...
462,скинь адресок тупица разберемся поговорим,скиньте адрес разберемся поговорим
463,"в говнозасос можете и вы превратится, а по поводу сухарей, так ведь мир изменчив, смотрите чтобы вам очистки не пришлось вкушать!","в канализацию можете и вы превратится, а по поводу сухарей, так ведь мир изменчив, смотрите чтобы вам очистки не пришлось вкушать!"
464,"а судя по тому как ты, дырявый, со мной разговариваешь... тебя нет.. ты пустое место. дырка для пидорасов.",а судя по тому как вы со мной разговариваете... вас нет.. вы пустое место.
465,на посаси блядь может попустет,
466,"щавешь, если у вас, у пидоров, наматывание срока называется- завести дело в тупик( там и доказухи то не надо), то я с вас ору. сказочные долбоебы.","щавешь, если у вас, наматывание срока называется- завести дело в тупик( там и доказухи то не надо), то вы меня очень смешите."
467,"было бы чем,чмошники!!",было бы чем!!
468,с таким ебалом счастье ? не захочешь,с таким лицом счастье ? не захочешь
469,два дебила это сила пидоры,у глупых людей мысли сходятся
470,сколько эту тварь не корми все равно не благодарен выборы пройдут и эта тварь начнет просить денег отключить ему всё жалко только народ наш белорусский не ужели путин простит все его пакости,сколько лукашенко не корми все равно не благодарен выборы пройдут и он начнет просить денег отключить ему всё жалко только народ наш белорусский не ужели путин простит все его пакости
471,"ему позор пох.,он же власть сука!!!","ему безразличен позор,он же власть!!!"
472,пидор горбатый пасть закрой и не брызжи здесть слюной гадюки👊 👊 👊 👊 👊 👊 👊 👊 👊,замолчите👊 👊 👊 👊 👊 👊 👊 👊 👊
473,сломать руки этим тварям чтобы жрать не могли и ходили с засратой задницей,сломать им руки чтобы не могли есть и ходили с грязной задницей
474,тико пшол ты на х у й,отстаньте
475,засунуть ему этот пистолет в место где нет загара!,засунуть ему этот пистолет в место где нет загара!
476,"Не понимаю Вашу речь, к счастью.","Не понимаю Вашу речь, к счастью."
477,я за то также взять только за яйца и подвешать,я за то также взять только за яйца и подвешать
478,тыл почему сне пала в тупоез уебище,тыл почему сне пала
479,"ебаньки а вы их расходы на коммуналку знаете , и цены на все ? бараны!","а вы их расходы на коммуналку знаете , и цены на все ?"
480,казнить тварей,казнить их
481,"украинскими фашистами Изобретение украинского фашизма дьявольский триумф политтехнологов, которым удалось создать миф о бандеровцах , карателях и правосеках и внушить его власти и пресловутым 96 населения посредством телевидения. На весь 2014 год Россия, включая президента Путина, переехала жить в телевизор, в бесконечный сериал, в параллельную реальность, где по Киеву маршировали фашисты, каратели сбивали малайзийский боинг и распинали мальчика в Славянске, а Запад спонсировал Майдан, планировал принять Украину в НАТО и разместить корабли Шестого флота в Севастополе. Характерно использование российской пропагандой образа фашизма как синонима абсолютного, финального, зла, окончательного расчеловечивания противника. Фашизм в российском дискурсе обладает универсальной ценностью Другого, вся новейшая российская идентичность построена на идеологеме победы над нацизмом. Происходит онтологизация конфликта с Украиной как борьбы абсолютного добра с абсолютным злом. Война России в Украине пример чистого негативизма, основанного на чувстве собственной ущербности, компенсация комплекса неполноценности элиты по отношению к Западу и населения по отношению к обстоятельствам собственной жизни. Власть не может изменить роль России на международной арене при помощи мягкой силы , качественного экономического роста, добиться уважения и признания партнеров. Подавляющее большинство населения, запертое в рамках восстановленной Путиным сословной системы, также не в силах выйти за пределы государственного патернализма (по сути, сословного рабства) и социального паразитизма, синдрома выученной беспомощности. Символической компенсацией стало создание вымышленного врага в лице Украины и вымышленных побед аннексии Крыма и создания пиратских республик Донецка и Луганска. Но по сути Крымнаш и фактическое отторжение Юго-Востока Украины стали маршем проигравших .
","украинскими фашистами Изобретение украинского фашизма дьявольский триумф политтехнологов, которым удалось создать миф о сторонниках Степана Бандеры , карателях и членах ""Правого сектора"" и внушить его власти и пресловутым 96 населения посредством телевидения. На весь 2014 год Россия, включая президента Путина, переехала жить в телевизор, в бесконечный сериал, в параллельную реальность, где по Киеву маршировали фашисты, каратели сбивали малайзийский боинг и распинали мальчика в Славянске, а Запад спонсировал Майдан, планировал принять Украину в НАТО и разместить корабли Шестого флота в Севастополе. Характерно использование российской пропагандой образа фашизма как синонима абсолютного, финального, зла, окончательного расчеловечивания противника. Фашизм в российском дискурсе обладает универсальной ценностью Другого, вся новейшая российская идентичность построена на идеологеме победы над нацизмом. Происходит онтологизация конфликта с Украиной как борьбы абсолютного добра с абсолютным злом. Война России в Украине пример чистого негативизма, основанного на чувстве собственной ущербности, компенсация комплекса неполноценности элиты по отношению к Западу и населения по отношению к обстоятельствам собственной жизни. Власть не может изменить роль России на международной арене при помощи мягкой силы , качественного экономического роста, добиться уважения и признания партнеров. Подавляющее большинство населения, запертое в рамках восстановленной Путиным сословной системы, также не в силах выйти за пределы государственного патернализма (по сути, сословного рабства) и социального паразитизма, синдрома выученной беспомощности. Символической компенсацией стало создание вымышленного врага в лице Украины и вымышленных побед аннексии Крыма и создания пиратских республик Донецка и Луганска. Но по сути Крымнаш и фактическое отторжение Юго-Востока Украины стали маршем проигравших .
"
482,полный урод как можно убить такого красавца,ужасный человек как можно убить такого красавца
483,крым всегда был и будет российским!!! всем блядям назло !!!!,крым всегда был и будет российским!!! всем назло !!!!
484,"Бля, ночь почти закончилась и тут казимиркины шизоиди просочились из обители говна.",Ночь почти закончилась и тут казимиркины сумасшедшие просочились из обители грязи.
485,"ебанашка хуйлепутинская ,ебальник задвинь корова рязанская :d :d :d","замолчите, сторонник путина :d :d :d"
486,"макс, идинахуйтроль!","максим, отстаньте"
487,хабадовская блядь дает всегда с легкостью и пристрастием,хабадовская женщина лёгкого поведения занимается сексом всегда с легкостью и пристрастием
488,Хохлы то да разъезжаются ты прав.,Украинцы то да разъезжаются ты прав.
489,смотрю и не пойму кто кому дрочит,смотрю и не пойму кто кому мастурбирует
490,трахать обоих,заняться сексом с обоими
491,по русскому не геям а пидорасам,по русскому не геям а нехорошим людям
492,да руки нужно отрубить.,да руки нужно отрубить.
493,старая жидовская мразь,"пожилой нехороший человек, и, к тому же, еврей"
494,ебать её в обе дырки и кончить в жопу,заняться сексом с ней
495,старый долбоеб,пожилой глупый человек
496,иди ищи поддержку у порватой многоразовый пизды.,иди ищи поддержку у плохой женщины.
497,фамилии участников конкурса в студию! лайкосборщику- кол осиновый в жопу!,фамилии участников конкурса в студию! лайкосборщику- кол осиновый в задницу!
498,уебать провокатора,избить провокатора
499,отхерачить бы их хорошенько,избить бы их хорошенько
